SourceID,TargetID,RelationshipType,TransactionAmount,TransactionDate,TransactionDescription,SourceName,SourceType,SourceSector,SourceOrganization
1120,860,Fraud,,4/20/2019,Embezzlement in Finance sector,Person 1120,CEO,Finance,Organization 807
2261,1828,Bribery,,3/28/2010,Embezzlement in Healthcare sector,Person 2261,Clerk,Finance,Organization 607
2420,403,Nepotism,26111,4/5/2017,Embezzlement in Finance sector,Person 2420,Manager,Healthcare,Organization 449
4973,47,Bribery,,7/20/2011,Bribery in Government sector,Person 4973,Manager,Finance,Organization 15
4349,724,Embezzlement,79303,9/4/2011,Nepotism in Government sector,Person 4349,CEO,Government,Organization 690
6,4961,Embezzlement,82020,7/15/2016,Bribery in Construction sector,Person 6,CEO,Finance,Organization 135
3897,4611,Nepotism,,2/9/2010,Nepotism in Government sector,Person 3897,Official,Healthcare,Organization 174
1845,4962,Nepotism,85453,8/5/2015,Nepotism in Finance sector,Person 1845,Manager,Construction,Organization 338
1065,2871,Nepotism,33713,6/9/2018,Fraud in Construction sector,Person 1065,Clerk,Healthcare,Organization 25
4200,2240,Bribery,,11/16/2013,Embezzlement in Construction sector,Person 4200,CEO,Healthcare,Organization 537
2163,850,Bribery,,9/17/2011,Nepotism in Healthcare sector,Person 2163,Official,Healthcare,Organization 687
537,4101,Embezzlement,20870,4/9/2018,Embezzlement in Healthcare sector,Person 537,Official,Government,Organization 183
2876,3057,Bribery,32343,3/8/2020,Nepotism in Healthcare sector,Person 2876,Clerk,Finance,Organization 449
33,525,Fraud,24058,4/11/2012,Nepotism in Healthcare sector,Person 33,CEO,Construction,Organization 750
309,1078,Nepotism,18017,11/20/2014,Fraud in Finance sector,Person 309,Clerk,Finance,Organization 32
1962,2539,Bribery,,12/21/2018,Fraud in Construction sector,Person 1962,CEO,Government,Organization 827
4287,1168,Bribery,75685,10/15/2013,Nepotism in Construction sector,Person 4287,Manager,Construction,Organization 479
3759,3688,Embezzlement,,7/18/2012,Nepotism in Government sector,Person 3759,Clerk,Healthcare,Organization 423
2531,3722,Bribery,68399,7/14/2011,Embezzlement in Government sector,Person 2531,Manager,Finance,Organization 178
739,3371,Embezzlement,,1/27/2018,Nepotism in Finance sector,Person 739,Manager,Healthcare,Organization 458
74,1817,Bribery,82000,1/5/2013,Embezzlement in Government sector,Person 74,CEO,Construction,Organization 902
2851,1376,Nepotism,,5/25/2010,Fraud in Finance sector,Person 2851,CEO,Finance,Organization 152
574,1834,Fraud,2011,8/19/2017,Embezzlement in Government sector,Person 574,CEO,Construction,Organization 397
1746,1994,Embezzlement,,9/21/2013,Embezzlement in Healthcare sector,Person 1746,Official,Healthcare,Organization 683
3982,2004,Fraud,77949,8/16/2014,Nepotism in Government sector,Person 3982,Clerk,Finance,Organization 627
4000,1574,Embezzlement,27032,7/26/2019,Nepotism in Construction sector,Person 4000,Official,Construction,Organization 599
1533,4435,Nepotism,96423,12/28/2017,Bribery in Finance sector,Person 1533,Official,Construction,Organization 957
4008,3696,Fraud,64926,5/24/2011,Embezzlement in Government sector,Person 4008,Official,Finance,Organization 15
880,755,Embezzlement,1780,6/12/2020,Nepotism in Construction sector,Person 880,Clerk,Finance,Organization 822
3549,778,Bribery,,12/5/2020,Fraud in Healthcare sector,Person 3549,Manager,Government,Organization 433
73,974,Embezzlement,,2/17/2020,Fraud in Construction sector,Person 73,CEO,Finance,Organization 797
1059,468,Nepotism,65972,2/28/2016,Embezzlement in Construction sector,Person 1059,Manager,Government,Organization 427
